0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.66,0,0,0,0,0,0,0,0,0,0,0,2.28,2.74,2.35,2.17,2.51,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.72,2.1,2.29,2.07,3.99,2.92,3.15,3.11,2.35,1.4,0,1.68,0,0,0,2.47,0,0,2.76,0,0,2.92,1.68,0,0,0,0
0,0,0,0,0,0,1.55,2.22,2.98,4.08,4.74,4.54,3.94,4.29,3.12,3.44,2.94,3.4,2.64,1.98,2.51,3.15,0,2.75,3.98,1.74,1.57,3.59,1.96,1.58,3.97,3.62,0,0,0,0
0,0,0,0,0,2.01,3.62,3.55,4.45,5.12,5.48,5.4,5.81,4.2,3.79,2.67,3.55,3.67,3.07,0,3.15,3.64,0,3.18,4.5,2.43,2.01,4.25,2.77,1.77,4.1,3.98,0,0,0,0
0,0,0,0,2.62,3.66,3.97,5.31,5.3,5.85,6.44,6.75,5.52,4.77,3.86,3.56,4.2,5.27,3.99,0,4.39,4.6,2.19,3.59,5.19,3.31,2.11,4.87,3.62,1.66,4.13,4.06,1.57,0,0,0
0,0,0,1.93,1.61,3.49,4.28,4.72,5.52,5.67,6.71,8.53,5.99,5.09,5,4.5,4.61,5.34,5.31,1.34,5.13,5.17,2.41,3.2,5.29,3.89,2.05,4.83,4.15,1.72,4.08,4.07,3.53,1.84,0,0
0,0,2.03,2.66,4.74,3.57,5.34,5,6.38,6.57,6.9,7.97,6.32,6.26,5.93,6.26,4.66,5.76,6.02,0,5.26,5.57,2.54,2.92,5.2,4.19,1.72,4.98,4.56,0,0,0,2.96,3.45,1.67,0
0,0,3.66,5.08,5.31,6.21,5.76,6.01,7.05,8.98,8.2,6.74,8.15,6.52,7.01,6.28,3.56,6.34,6.39,0,4.99,5.66,2.95,2.82,5.5,4.66,1.55,5.06,5.12,0,0,0,3.1,3.46,2.02,0
0,1.88,2.04,4.04,5.68,6.49,6.24,5.64,5.3,7.51,9.65,10.16,8.31,6.57,7.11,6.66,4.81,6.15,6.29,2.01,5.05,5.48,3.45,2.43,5.3,4.6,1.79,4.58,4.78,1.37,0,0,4.15,2.41,1.7,0
0,2.48,3.57,4.78,5.25,6.14,6.38,6.48,6.55,6.9,8.2,9.9,7.11,7.69,7.98,6.62,5.71,6.39,6.22,2.66,4.19,5.4,3.91,2.4,4.83,4.37,1.73,3.8,4.33,1.51,2.65,3.05,2.91,0,1.56,0
0,2.88,4.63,4.17,6.25,8.46,8.87,7.59,7.7,9.08,11.91,8.39,10.55,9.23,8.37,8.13,6.11,6.63,6.4,2.99,4.33,5.48,4.19,1.87,4.47,4.14,0,3.08,3.47,0,2.11,2.64,0,0,0,0
0,2.94,4.92,6.53,9.7,12.06,10.73,15.62,15.09,10.43,10.84,10.8,11.51,9.21,8.53,8.69,6.43,6.44,6.17,3.13,3.67,4.9,3.96,0,3.52,3.5,0,2.07,2.56,0,0,0,0,0,0,0
0,4.65,6.93,8.09,12.86,10.89,12.2,17.51,29.33,11.7,12.53,19.26,13.87,5.9,8.15,6.75,5.79,6.16,5.83,3.2,3.03,4.93,3.7,0,2.17,2.54,0,0,0,0,0,0,0,0,0,0
0,5.66,7.89,9.41,5.97,5.7,17.06,9.84,14.19,13.71,12.04,22.4,15.37,5,6.7,6.75,6.07,5.71,5.7,3.18,2.15,4.09,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0
1.59,5.66,8.11,6.88,5.77,8.08,9.82,10.35,12.03,14.86,9.4,15.75,12.86,5.12,5.64,5.22,3.99,4.12,4.51,1.83,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.72,6.27,6.22,6.51,6.7,6.54,8.43,9.15,9.14,4.69,9.54,5.49,1.99,4.3,4.31,2.26,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.42,6.29,6.47,7.23,6.31,5.25,6.48,7.02,6.63,4.7,7.87,6.53,2.34,5.31,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.86,5.43,5.09,5.38,6.11,4.42,4.52,5,5.96,3.57,9.34,9.3,2.82,5.76,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.28,6.37,6.04,6.92,7.08,5.48,5.73,6.92,6.47,5.36,10.49,8.68,2.36,3.25,2.58,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.74,6.54,6.02,9.45,10.56,9.53,7.23,10.1,10.42,6.1,11.31,9.75,5.35,6.6,7.52,4.84,3.63,5.02,2.97,0,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.33,6.31,7.62,9.47,9.11,11.53,10.84,12.15,14.11,10.66,20.28,12.65,7.84,8.21,8.89,7.01,4.53,6.07,5.04,2.05,4.29,3.83,0,0,1.43,0,0,0,0,0,0,0,0,0,0
0,5.6,7.97,9.95,7.97,6.19,10.96,13.41,14.07,15.35,19.22,16.14,11.08,9.21,8.78,9.55,7.15,5.05,6.34,5.61,2.61,4.79,4.84,2.6,0,3.47,1.58,0,2.6,0,0,0,0,0,0,0
0,5.19,6.96,8,6.88,8.94,12.34,10.62,16.95,13.07,14.42,12.19,9.25,7.94,8.36,8.28,6.85,4.73,6.45,5.75,2.37,4.72,5.1,3.11,1.87,4.16,2.86,2.16,3.96,3.28,0,1.76,1.75,0,0,0
