0,0,14,27,27,27,6,0,0,0,3,18,19,10,3,7
0,0,24,40,40,41,14,0,0,2,15,45,48,50,57,7
0,2,30,48,44,43,28,0,0,0,20,42,46,45,37,6
0,3,37,49,48,41,41,2,0,3,35,50,49,48,43,8
0,8,44,46,44,46,46,14,0,10,43,48,46,48,43,12
0,14,48,50,45,54,54,35,4,25,47,49,50,46,44,13
0,21,49,52,50,53,50,41,16,38,57,60,52,51,51,16
0,33,52,54,57,57,53,49,29,48,58,56,50,54,47,18
0,39,55,60,60,62,60,54,26,50,64,67,66,57,46,19
0,48,63,64,71,91,71,62,37,57,68,72,75,67,56,21
2,62,64,62,72,58,28,13,6,27,56,84,82,69,59,23
3,57,63,76,80,21,9,5,6,9,20,82,101,69,65,25
4,42,65,60,60,7,15,5,9,13,14,53,104,67,65,21
4,38,47,50,36,5,18,8,19,18,20,39,88,63,63,2
4,45,41,42,23,4,4,7,12,9,8,26,76,52,53,0
0,2,6,11,5,0,0,0,0,0,2,10,53,65,56,0
